country,province,district,species,breed,age_group,disease,symptoms_list,key_signs,ticks_present,confirmed_lab,recommended_treatment,prevention,source,date_reported,confidence_level,case_id
Zimbabwe,Mashonaland West,East Michaelport,Sheep,Merino,Adult,Blackleg,swollen_muscle|sudden_death,swollen muscle; sudden death,N,No,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2023-05-09,0.88,1502
DR Congo,Kasai,South Amandafort,Poultry,Indigenous,Adult,Coccidiosis,diarrhoea|dehydration|weight_loss|anorexia,diarrhoea; dehydration,N,No,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2025-09-13,0.75,2587
Comoros,Ngazidja,berg,Sheep,Merino,Neonate,Rabies (spillover),neurological_signs|aggression|paralysis|hypersalivation|behavioural_changes,neurological signs / paralysis; aggression,N,No,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Merck_VetManual,2021-02-23,0.83,2654
Seychelles,Inner Islands,ville,Cattle,Angus,Juvenile,Dermatophilosis,exudative_dermatitis|wet_skin|ticks_observed,exudative dermatitis; wet skin,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2024-07-27,0.87,1056
Lesotho,Maseru,ton,Pig,Local,Juvenile,Brucellosis,orchitis|abortions,orchitis; abortions,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2024-12-02,0.9,706
DR Congo,Kasai,side,Cattle,Hereford,Juvenile,Theileriosis,fever|anorexia,fever; reduced appetite/anorexia,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2025-05-28,0.83,107
Lesotho,Mokhotlong,Port Rachelmouth,Sheep,Local,Adult,Babesiosis,anorexia|hemoglobinuria|weakness,reduced appetite/anorexia; red/brown urine (hemoglobinuria),N,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2020-06-29,0.81,590
Seychelles,Inner Islands,ville,Cattle,Angus,Adult,Anaplasmosis,weight_loss|weakness|progressive_anemia|pale_mucous_membranes|fever,weight loss; weakness,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2023-07-13,0.97,2469
Seychelles,Inner Islands,view,Sheep,Dorper,Adult,Tick-bite toxicosis,anemia|salivation|ticks_observed,anemia; salivation,Y,No,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2020-04-18,0.94,2414
Tanzania,Mwanza,bury,Goat,Local,Juvenile,Anaplasmosis,weakness|pale_mucous_membranes|weight_loss|progressive_anemia|fever|ticks_observed,weakness; pale mucous membranes,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2023-11-16,0.95,1601
