species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Sheep,Merino,Adult,Blackleg,swollen_muscle|sudden_death,swollen muscle; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Adult,Coccidiosis,diarrhoea|dehydration|weight_loss|anorexia,diarrhoea; dehydration,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Rabies (spillover),neurological_signs|aggression|paralysis|hypersalivation|behavioural_changes,neurological signs / paralysis; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Angus,Juvenile,Dermatophilosis,exudative_dermatitis|wet_skin|ticks_observed,exudative dermatitis; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Juvenile,Brucellosis,orchitis|abortions,orchitis; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Juvenile,Theileriosis,fever|anorexia,fever; reduced appetite/anorexia,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Babesiosis,anorexia|hemoglobinuria|weakness,reduced appetite/anorexia; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Adult,Anaplasmosis,weight_loss|weakness|progressive_anemia|pale_mucous_membranes|fever,weight loss; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Tick-bite toxicosis,anemia|salivation|ticks_observed,anemia; salivation,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Juvenile,Anaplasmosis,weakness|pale_mucous_membranes|weight_loss|progressive_anemia|fever|ticks_observed,weakness; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Parasitic Gastroenteritis,diarrhoea|weight_loss,diarrhoea; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Adult,Anaplasmosis,progressive_anemia|weakness|weight_loss,progressive anemia; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Juvenile,Avian Influenza (HPAI),greenish_diarrhoea|sudden_death|sudden_death,greenish diarrhoea; sudden death,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Friesian,Juvenile,Parasitic Gastroenteritis,diarrhoea|anorexia,diarrhoea; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Babesiosis,fever|anemia|hemoglobinuria|anorexia,fever; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Senior,Avian Influenza (HPAI),sudden_death|drop_in_egg_production|swelling_head|greenish_diarrhoea|respiratory_signs,sudden death; drop in egg production,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Adult,Parasitic Gastroenteritis,bottle_jaw|poor_condition|weight_loss|anorexia|diarrhoea,bottle jaw; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Neonate,Dermatophilosis,crusting_skin_lesions|exudative_dermatitis|wet_skin|matted_hair,crusting skin lesions; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Theileriosis,respiratory_distress|drooling,respiratory distress; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Neonate,Anaplasmosis,progressive_anemia|fever|weight_loss|pale_mucous_membranes|weakness,progressive anemia; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Dermatophilosis,exudative_dermatitis|wet_skin,exudative dermatitis; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Adult,Parasitic Gastroenteritis,diarrhoea|bottle_jaw|poor_condition|weight_loss,diarrhoea; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Dermatophilosis,lameness|matted_hair,lameness; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Babesiosis,fever|anorexia|sudden_death,fever; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Juvenile,Coccidiosis,anorexia|diarrhoea,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Anaplasmosis,progressive_anemia|fever|pale_mucous_membranes|weakness,progressive anemia; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Dermatophilosis,lameness|matted_hair,lameness; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Juvenile,Babesiosis,anemia|weakness|fever|anorexia|hemoglobinuria,anemia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Adult,Parasitic Gastroenteritis,bottle_jaw|anorexia|weight_loss|sudden_death,bottle jaw; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Neonate,Dermatophilosis,crusting_skin_lesions|matted_hair|lameness,crusting skin lesions; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Neonate,Foot-and-Mouth Disease,excess_salivation|fever|reduced_appetite|lameness|blisters_mouth_feet,excess salivation; fever,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Layers,Senior,Avian Influenza (HPAI),swelling_head|greenish_diarrhoea|respiratory_signs|sudden_death,swelling of head; greenish diarrhoea,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Indigenous,Adult,Newcastle Disease,drop_in_egg_production|neurological_signs|respiratory_distress|diarrhoea,drop in egg production; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Anaplasmosis,weakness|fever|weight_loss,weakness; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Mastitis,swollen_udder|pain_on_palpation|abnormal_milk,swollen udder; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Neonate,Mastitis,swollen_udder|pain_on_palpation,swollen udder; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Senior,Avian Influenza (HPAI),swelling_head|sudden_death|drop_in_egg_production|greenish_diarrhoea|respiratory_signs,swelling of head; sudden death,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bonsmara,Senior,Parasitic Gastroenteritis,weight_loss|poor_condition|anorexia,weight loss; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Parasitic Gastroenteritis,weight_loss|diarrhoea|anorexia|bottle_jaw|sudden_death,weight loss; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Senior,Mannheimiosis (Pasteurellosis),fever|nasal_discharge,fever; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Senior,Dermatophilosis,matted_hair|wet_skin|crusting_skin_lesions,matted hair; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Adult,Lumpy Skin Disease,reduced_milk|skin_nodules|fever|lameness|swollen_lymph_nodes,reduced milk yield; skin nodules,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Adult,Parasitic Gastroenteritis,anorexia|poor_condition,reduced appetite/anorexia; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Blackleg,sudden_death|severe_lameness|swollen_muscle,sudden death; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Local scavenging,Senior,Newcastle Disease,respiratory_distress|diarrhoea|neurological_signs|sudden_death,respiratory distress; diarrhoea,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Neonate,Babesiosis,anorexia|weakness,reduced appetite/anorexia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Neonate,Newcastle Disease,neurological_signs|drop_in_egg_production|diarrhoea,neurological signs / paralysis; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
